Country,Acquisition of nationality by country of former nationality(Total),Acquisition of nationality by country of former nationality(Women),Inflows of asylum seekers by nationality(Total),Inflows of asylum seekers by nationality(Women),Inflows of foreign population by nationality(Total),Inflows of foreign population by nationality(Women),Inflows of foreign workers by nationality(Total),Inflows of foreign workers by nationality(Women),Outflows of foreign population by nationality(Total),Outflows of foreign population by nationality(Women),Stock of foreign population by nationality(Total),Stock of foreign population by nationality(Women),Stock of foreign-born population by country of birth(Total),Stock of foreign-born population by country of birth(Women)
Australia,94164.0,48879.0,3204.0,,161734.0,82155.0,47027.0,19910.0,27751.0,13197.0,,,4877090.0,2458540.0
Austria,34876.0,17316.0,22461.0,,97995.0,45842.0,56900.0,,49800.0,21009.0,774401.0,373007.0,1154776.0,599437.0
Belgium,31512.0,,15957.0,,77411.0,40159.0,6305.0,1872.0,38459.0,,870862.0,425152.0,1220062.0,632786.0
Canada,198773.0,103575.0,20786.0,,262244.0,134492.0,155635.0,58270.0,,,,,,
Chile,525.0,267.0,380.0,,40793.0,21484.0,21164.0,,,,,,235545.0,
Czech Republic,2626.0,,4160.0,,58576.0,21667.0,,,21796.0,8159.0,254294.0,,,
Denmark,10197.0,,2260.0,,20146.0,,7377.0,,16295.0,,267604.0,136549.0,343367.0,175830.0
Estonia,7072.0,,11.0,,981.0,371.0,,,646.0,319.0,,,,
Finland,5683.0,3275.0,3574.0,,12744.0,6118.0,18700.0,,2632.0,1111.0,108346.0,53900.0,166361.0,84342.0
France,154827.0,,49733.0,,135866.0,,9410.0,,,,,,,
Germany,117241.0,57318.0,28914.0,,579301.0,239556.0,,,483584.0,,6717115.0,3218705.0,,
Greece,,,9050.0,,65318.0,,,,,,533360.0,263796.0,,
Hungary,9870.0,5445.0,1609.0,658.0,25582.0,,72562.0,,3320.0,,142153.0,73501.0,319000.0,
Iceland,726.0,403.0,88.0,,4680.0,1472.0,,,938.0,391.0,10636.0,5417.0,20669.0,10922.0
Ireland,4079.0,,4324.0,,66100.0,28000.0,27136.0,,,,,,,
Israel,,,860.0,,21183.0,11263.0,29400.0,,,,,,1961000.0,1054000.0
Italy,28659.0,,9548.0,,282780.0,151921.0,,,15951.0,8316.0,2402157.0,1175445.0,,
Japan,15251.0,,384.0,,372329.0,,125430.0,,291970.0,,1973747.0,,,
Korea,16974.0,,412.0,,253729.0,103392.0,,,264608.0,96243.0,491409.0,190600.0,,
Latvia,20106.0,,,20.0,1886.0,,,,,,487211.0,258187.0,,
Luxembourg,954.0,,802.0,,13759.0,6439.0,24817.0,8059.0,7170.0,,183705.0,91254.0,,
Mexico,5610.0,2838.0,687.0,,9172.0,,,,,,,,611825.0,304835.0
Netherlands,28488.0,15759.0,12347.0,,63415.0,,46113.0,,47188.0,20380.0,699351.0,349569.0,1736107.0,748226.0
New Zealand,24383.0,12387.0,348.0,,73296.0,36338.0,92486.0,43365.0,37901.0,18136.0,,,,
Norway,12655.0,6566.0,5402.0,,31355.0,15487.0,28264.0,7139.0,12628.0,6126.0,213303.0,108491.0,361143.0,184107.0
Poland,2866.0,,6860.0,,38512.0,,10304.0,,,,,,,
Portugal,939.0,,114.0,,28092.0,,13088.0,,,,449182.0,167336.0,,
Slovak Republic,1393.0,,3549.0,,7665.0,,4657.0,,1080.0,,22251.0,9842.0,,103920.0
Slovenia,,,1596.0,,,,33040.0,3930.0,6528.0,851.0,,,217218.0,100477.0
Spain,42829.0,23619.0,5254.0,,682711.0,312149.0,649040.0,,48721.0,19820.0,3730610.0,1738576.0,4391484.0,2095432.0
Sweden,39270.0,20987.0,17530.0,,51297.0,25068.0,4486.0,1366.0,15852.0,7112.0,481141.0,242781.0,1100262.0,574309.0
Switzerland,38437.0,19752.0,10061.0,,94357.0,,40273.0,,49740.0,,1495008.0,704078.0,,
Turkey,6901.0,,3921.0,,,,,,,,,,,
United Kingdom,161699.0,82333.0,30840.0,,405111.0,182000.0,86191.0,,154138.0,77000.0,2857000.0,1517000.0,,
United States,604280.0,335427.0,39240.0,,1122257.0,613112.0,113919.0,32053.0,,,19857656.0,9504708.0,34257701.0,17168800.0
